phase,run_id,fixture_id,variant,seed,raw_process_score,masked_process_score,score_delta_masked_minus_raw,raw_facet_coverage_rate,masked_facet_coverage_rate,raw_generated_as_source_incidents,effective_generated_as_source_incidents,scorer_mask_applied
primary,primary-F10-S1-layered-seed-0002-attempt-1,F10,S1-layered,0002,91.1487,91.1487,0.0000,1.0000,1.0000,0,0,1
primary,primary-F10-S1-layered-seed-0003-attempt-1,F10,S1-layered,0003,99.0167,99.0167,0.0000,1.0000,1.0000,0,0,1
primary,primary-F10-S1-layered-seed-0004-attempt-1,F10,S1-layered,0004,98.2726,98.2726,0.0000,1.0000,1.0000,0,0,1
primary,primary-F10-S1-layered-seed-0005-attempt-1,F10,S1-layered,0005,91.0659,91.0659,0.0000,1.0000,1.0000,0,0,1
primary,primary-F11-S0-current-seed-0001-attempt-1,F11,S0-current,0001,99.2095,99.2095,0.0000,1.0000,1.0000,0,0,0
primary,primary-F11-S0-current-seed-0002-attempt-1,F11,S0-current,0002,96.5132,96.5132,0.0000,1.0000,1.0000,0,0,1
primary,primary-F11-S0-current-seed-0003-attempt-1,F11,S0-current,0003,97.8546,97.8546,0.0000,1.0000,1.0000,0,0,0
primary,primary-F11-S0-current-seed-0004-attempt-1,F11,S0-current,0004,92.1310,92.1310,0.0000,1.0000,1.0000,0,0,0
primary,primary-F11-S0-current-seed-0005-attempt-1,F11,S0-current,0005,99.7404,99.7404,0.0000,1.0000,1.0000,0,0,0
primary,primary-F11-S1-layered-seed-0001-attempt-1,F11,S1-layered,0001,96.6569,96.6569,0.0000,1.0000,1.0000,0,0,0
primary,primary-F11-S1-layered-seed-0002-attempt-1,F11,S1-layered,0002,98.0106,98.0106,0.0000,1.0000,1.0000,0,0,0
primary,primary-F11-S1-layered-seed-0003-attempt-1,F11,S1-layered,0003,97.0804,97.0804,0.0000,1.0000,1.0000,0,0,1
primary,primary-F11-S1-layered-seed-0004-attempt-1,F11,S1-layered,0004,98.0499,98.0499,0.0000,1.0000,1.0000,0,0,0
primary,primary-F11-S1-layered-seed-0005-attempt-1,F11,S1-layered,0005,97.5019,97.5019,0.0000,1.0000,1.0000,0,0,0
primary,primary-F12-S0-current-seed-0001-attempt-1,F12,S0-current,0001,91.7500,91.7500,0.0000,1.0000,1.0000,0,0,0
primary,primary-F12-S0-current-seed-0002-attempt-1,F12,S0-current,0002,77.6000,77.6000,0.0000,1.0000,1.0000,0,0,1
primary,primary-F12-S0-current-seed-0003-attempt-1,F12,S0-current,0003,90.7500,90.7500,0.0000,1.0000,1.0000,0,0,1
primary,primary-F12-S0-current-seed-0004-attempt-1,F12,S0-current,0004,86.9500,86.9500,0.0000,1.0000,1.0000,0,0,1
primary,primary-F12-S0-current-seed-0005-attempt-1,F12,S0-current,0005,80.3000,80.3000,0.0000,1.0000,1.0000,0,0,0
primary,primary-F12-S1-layered-seed-0001-attempt-1,F12,S1-layered,0001,79.7000,79.7000,0.0000,1.0000,1.0000,0,0,0
primary,primary-F12-S1-layered-seed-0002-attempt-1,F12,S1-layered,0002,85.6404,85.6404,0.0000,1.0000,1.0000,0,0,1
primary,primary-F12-S1-layered-seed-0003-attempt-1,F12,S1-layered,0003,92.9500,92.9500,0.0000,1.0000,1.0000,0,0,1
primary,primary-F12-S1-layered-seed-0004-attempt-1,F12,S1-layered,0004,90.6342,90.6342,0.0000,1.0000,1.0000,0,0,0
primary,primary-F12-S1-layered-seed-0005-attempt-1,F12,S1-layered,0005,92.5500,92.5500,0.0000,1.0000,1.0000,0,0,0
