phase,run_id,fixture_id,fixture_class,seed,variant,status,process_score,depth,breadth,goal_preservation,investigation_discipline,narrowing_harm,hard_failure,soft_failure,failure_class,judge_id,unique_source_refs,tool_commands,facet_coverage_rate,repetition_jaccard,generated_as_source_incidents,contamination_flag,raw_process_score,raw_facet_coverage_rate,raw_generated_as_source_incidents,scorer_mask_applied,scorer_mask_score_delta
primary,primary-F03-S0-current-seed-0005-attempt-1,F03,broad-open,0005,S0-current,completed,91.7500,29.0000,23.7500,24.0000,15.0000,2,0,0,,deterministic-process-scorer-v1,11,22,1.0000,0.2070,0,0,91.7500,1.0000,0,1,0.0000
primary,primary-F03-S1-layered-seed-0001-attempt-1,F03,broad-open,0001,S1-layered,completed,91.3500,28.6000,23.7500,24.0000,15.0000,2,0,0,,deterministic-process-scorer-v1,12,12,1.0000,0.2367,0,0,91.3500,1.0000,0,1,0.0000
primary,primary-F03-S1-layered-seed-0002-attempt-1,F03,broad-open,0002,S1-layered,completed,92.5000,30.0000,23.5000,24.0000,15.0000,2,0,0,,deterministic-process-scorer-v1,13,29,1.0000,0.2184,0,0,92.5000,1.0000,0,1,0.0000
primary,primary-F03-S1-layered-seed-0003-attempt-1,F03,broad-open,0003,S1-layered,completed,94.0000,30.0000,25.0000,24.0000,15.0000,2,0,0,,deterministic-process-scorer-v1,13,25,1.0000,0.2232,0,0,94.0000,1.0000,0,1,0.0000
primary,primary-F03-S1-layered-seed-0004-attempt-1,F03,broad-open,0004,S1-layered,completed,92.3374,30.0000,23.7500,24.0000,14.5874,2,0,0,,deterministic-process-scorer-v1,13,24,1.0000,0.2606,0,0,92.3374,1.0000,0,0,0.0000
primary,primary-F03-S1-layered-seed-0005-attempt-1,F03,broad-open,0005,S1-layered,completed,93.3286,30.0000,24.5000,24.0000,14.8286,2,0,0,,deterministic-process-scorer-v1,15,32,1.0000,0.2486,0,0,93.3286,1.0000,0,0,0.0000
primary,primary-F04-S0-current-seed-0001-attempt-1,F04,narrow-directed,0001,S0-current,completed,97.5000,30.0000,22.5000,30.0000,15.0000,,0,0,,deterministic-process-scorer-v1,17,38,1.0000,0.2044,0,0,97.5000,1.0000,0,0,0.0000
primary,primary-F04-S0-current-seed-0002-attempt-1,F04,narrow-directed,0002,S0-current,completed,97.0406,30.0000,22.5000,30.0000,14.5406,,0,0,,deterministic-process-scorer-v1,15,43,1.0000,0.2630,0,0,97.0406,1.0000,0,1,0.0000
primary,primary-F04-S0-current-seed-0003-attempt-1,F04,narrow-directed,0003,S0-current,completed,96.5000,30.0000,23.5000,28.0000,15.0000,,0,0,,deterministic-process-scorer-v1,15,50,1.0000,0.1917,0,0,96.5000,1.0000,0,1,0.0000
primary,primary-F04-S0-current-seed-0004-attempt-1,F04,narrow-directed,0004,S0-current,completed,98.0000,30.0000,23.0000,30.0000,15.0000,,0,0,,deterministic-process-scorer-v1,18,46,1.0000,0.1897,0,0,98.0000,1.0000,0,1,0.0000
primary,primary-F04-S0-current-seed-0005-attempt-1,F04,narrow-directed,0005,S0-current,completed,98.7500,30.0000,23.7500,30.0000,15.0000,,0,0,,deterministic-process-scorer-v1,15,47,1.0000,0.2336,0,0,98.7500,1.0000,0,1,0.0000
primary,primary-F04-S1-layered-seed-0001-attempt-1,F04,narrow-directed,0001,S1-layered,completed,97.5000,30.0000,22.5000,30.0000,15.0000,,0,0,,deterministic-process-scorer-v1,15,40,1.0000,0.2342,0,0,97.5000,1.0000,0,1,0.0000
primary,primary-F04-S1-layered-seed-0002-attempt-1,F04,narrow-directed,0002,S1-layered,completed,96.7500,30.0000,23.7500,28.0000,15.0000,,0,0,,deterministic-process-scorer-v1,14,52,1.0000,0.2393,0,0,96.7500,1.0000,0,1,0.0000
primary,primary-F04-S1-layered-seed-0003-attempt-1,F04,narrow-directed,0003,S1-layered,completed,99.7500,30.0000,24.7500,30.0000,15.0000,,0,0,,deterministic-process-scorer-v1,14,37,1.0000,0.1715,0,0,99.7500,1.0000,0,1,0.0000
primary,primary-F04-S1-layered-seed-0004-attempt-1,F04,narrow-directed,0004,S1-layered,completed,95.3727,30.0000,20.5000,30.0000,14.8727,,0,0,,deterministic-process-scorer-v1,16,49,1.0000,0.2464,0,0,95.3727,1.0000,0,1,0.0000
primary,primary-F04-S1-layered-seed-0005-attempt-1,F04,narrow-directed,0005,S1-layered,completed,98.7159,30.0000,23.7500,30.0000,14.9659,,0,0,,deterministic-process-scorer-v1,17,61,1.0000,0.2417,0,0,98.7159,1.0000,0,1,0.0000
primary,primary-F05-S0-current-seed-0001-attempt-1,F05,narrow-directed,0001,S0-current,completed,82.6485,30.0000,20.5000,18.5000,13.6485,,0,0,,deterministic-process-scorer-v1,13,41,0.7500,0.3076,0,0,82.6485,0.7500,0,0,0.0000
primary,primary-F05-S0-current-seed-0002-attempt-1,F05,narrow-directed,0002,S0-current,completed,75.9782,10.2000,23.7500,28.0000,14.0282,,0,0,,deterministic-process-scorer-v1,1,8,1.0000,0.2886,0,0,75.9782,1.0000,0,0,0.0000
primary,primary-F05-S0-current-seed-0003-attempt-1,F05,narrow-directed,0003,S0-current,completed,90.0000,30.0000,20.5000,24.5000,15.0000,,0,0,,deterministic-process-scorer-v1,15,47,0.7500,0.2365,0,0,90.0000,0.7500,0,0,0.0000
primary,primary-F05-S0-current-seed-0004-attempt-1,F05,narrow-directed,0004,S0-current,completed,84.0000,30.0000,20.5000,18.5000,15.0000,,0,0,,deterministic-process-scorer-v1,13,32,0.7500,0.2366,0,0,84.0000,0.7500,0,0,0.0000
primary,primary-F05-S0-current-seed-0005-attempt-1,F05,narrow-directed,0005,S0-current,completed,84.0000,30.0000,20.5000,18.5000,15.0000,,0,0,,deterministic-process-scorer-v1,10,49,0.7500,0.2376,0,0,84.0000,0.7500,0,0,0.0000
primary,primary-F05-S1-layered-seed-0001-attempt-1,F05,narrow-directed,0001,S1-layered,completed,93.1730,30.0000,25.0000,24.0000,14.1730,,0,0,,deterministic-process-scorer-v1,13,37,1.0000,0.2813,0,0,93.1730,1.0000,0,0,0.0000
primary,primary-F05-S1-layered-seed-0002-attempt-1,F05,narrow-directed,0002,S1-layered,completed,94.0000,30.0000,25.0000,24.0000,15.0000,,0,0,,deterministic-process-scorer-v1,13,47,1.0000,0.2184,0,0,94.0000,1.0000,0,0,0.0000
primary,primary-F05-S1-layered-seed-0003-attempt-1,F05,narrow-directed,0003,S1-layered,completed,91.1488,30.0000,22.5000,24.0000,14.6488,,0,0,,deterministic-process-scorer-v1,15,35,1.0000,0.2576,0,0,91.1488,1.0000,0,0,0.0000
primary,primary-F05-S1-layered-seed-0004-attempt-1,F05,narrow-directed,0004,S1-layered,completed,92.3421,30.0000,23.7500,24.0000,14.5921,,0,0,,deterministic-process-scorer-v1,12,50,1.0000,0.2604,0,0,92.3421,1.0000,0,0,0.0000
primary,primary-F05-S1-layered-seed-0005-attempt-1,F05,narrow-directed,0005,S1-layered,completed,95.4785,29.0000,23.7500,28.0000,14.7285,,0,0,,deterministic-process-scorer-v1,10,30,1.0000,0.2536,0,0,95.4785,1.0000,0,0,0.0000
primary,primary-F06-S0-current-seed-0001-attempt-1,F06,ambiguous-intent,0001,S0-current,completed,76.2000,10.2000,25.0000,26.0000,15.0000,,0,0,,deterministic-process-scorer-v1,1,8,1.0000,0.2018,0,0,76.2000,1.0000,0,1,0.0000
primary,primary-F06-S0-current-seed-0002-attempt-1,F06,ambiguous-intent,0002,S0-current,completed,94.7747,27.0000,25.0000,28.0000,14.7747,,0,0,,deterministic-process-scorer-v1,9,28,1.0000,0.2513,0,0,94.7747,1.0000,0,0,0.0000
primary,primary-F06-S0-current-seed-0003-attempt-1,F06,ambiguous-intent,0003,S0-current,completed,98.6727,29.4000,25.0000,30.0000,14.2727,,0,0,,deterministic-process-scorer-v1,13,8,1.0000,0.2764,0,0,98.6727,1.0000,0,0,0.0000
primary,primary-F06-S0-current-seed-0004-attempt-1,F06,ambiguous-intent,0004,S0-current,completed,99.8831,30.0000,25.0000,30.0000,14.8831,,0,0,,deterministic-process-scorer-v1,12,27,1.0000,0.2458,0,0,99.8831,1.0000,0,0,0.0000
primary,primary-F06-S0-current-seed-0005-attempt-1,F06,ambiguous-intent,0005,S0-current,completed,100.0000,30.0000,25.0000,30.0000,15.0000,,0,0,,deterministic-process-scorer-v1,13,24,1.0000,0.2385,0,0,100.0000,1.0000,0,0,0.0000
primary,primary-F06-S1-layered-seed-0001-attempt-1,F06,ambiguous-intent,0001,S1-layered,completed,97.7004,30.0000,23.7500,30.0000,13.9504,,0,0,,deterministic-process-scorer-v1,13,22,1.0000,0.2925,0,0,97.7004,1.0000,0,0,0.0000
primary,primary-F06-S1-layered-seed-0002-attempt-1,F06,ambiguous-intent,0002,S1-layered,completed,78.6207,10.2000,24.2500,30.0000,14.1707,,0,0,,deterministic-process-scorer-v1,1,8,1.0000,0.2815,0,0,78.6207,1.0000,0,0,0.0000
primary,primary-F06-S1-layered-seed-0003-attempt-1,F06,ambiguous-intent,0003,S1-layered,completed,96.8326,29.0000,23.7500,30.0000,14.0826,,0,0,,deterministic-process-scorer-v1,11,22,1.0000,0.2859,0,0,96.8326,1.0000,0,0,0.0000
primary,primary-F06-S1-layered-seed-0004-attempt-1,F06,ambiguous-intent,0004,S1-layered,completed,81.1000,13.6000,22.5000,30.0000,15.0000,,0,0,,deterministic-process-scorer-v1,3,9,1.0000,0.2188,0,0,81.1000,1.0000,0,0,0.0000
primary,primary-F06-S1-layered-seed-0005-attempt-1,F06,ambiguous-intent,0005,S1-layered,completed,97.4000,29.4000,25.0000,28.0000,15.0000,,0,0,,deterministic-process-scorer-v1,11,24,1.0000,0.2193,0,0,97.4000,1.0000,0,1,0.0000
primary,primary-F07-S0-current-seed-0001-attempt-1,F07,ambiguous-intent,0001,S0-current,completed,97.9873,30.0000,23.7500,30.0000,14.2373,,0,0,,deterministic-process-scorer-v1,15,44,1.0000,0.2781,0,0,97.9873,1.0000,0,0,0.0000
primary,primary-F07-S0-current-seed-0002-attempt-1,F07,ambiguous-intent,0002,S0-current,completed,96.5000,30.0000,21.5000,30.0000,15.0000,,0,0,,deterministic-process-scorer-v1,13,15,1.0000,0.2251,0,0,96.5000,1.0000,0,0,0.0000
primary,primary-F07-S0-current-seed-0003-attempt-1,F07,ambiguous-intent,0003,S0-current,completed,94.7124,30.0000,21.0000,30.0000,13.7124,,0,0,,deterministic-process-scorer-v1,17,38,1.0000,0.3044,0,0,94.7124,1.0000,0,0,0.0000
primary,primary-F07-S0-current-seed-0004-attempt-1,F07,ambiguous-intent,0004,S0-current,completed,97.5587,30.0000,23.0000,30.0000,14.5587,,0,0,,deterministic-process-scorer-v1,15,19,1.0000,0.2621,0,0,97.5587,1.0000,0,0,0.0000
primary,primary-F07-S0-current-seed-0005-attempt-1,F07,ambiguous-intent,0005,S0-current,completed,96.9502,30.0000,22.5000,30.0000,14.4502,,0,0,,deterministic-process-scorer-v1,14,28,1.0000,0.2675,0,0,96.9502,1.0000,0,0,0.0000
primary,primary-F07-S1-layered-seed-0001-attempt-1,F07,ambiguous-intent,0001,S1-layered,completed,94.4823,30.0000,20.7500,30.0000,13.7323,,0,0,,deterministic-process-scorer-v1,13,31,1.0000,0.3034,0,0,94.4823,1.0000,0,0,0.0000
primary,primary-F07-S1-layered-seed-0002-attempt-1,F07,ambiguous-intent,0002,S1-layered,completed,96.6515,30.0000,22.2500,30.0000,14.4015,,0,0,,deterministic-process-scorer-v1,12,25,1.0000,0.2699,0,0,96.6515,1.0000,0,0,0.0000
primary,primary-F07-S1-layered-seed-0003-attempt-1,F07,ambiguous-intent,0003,S1-layered,completed,94.0696,30.0000,19.7500,30.0000,14.3196,,0,0,,deterministic-process-scorer-v1,13,42,1.0000,0.2740,0,0,94.0696,1.0000,0,0,0.0000
