block_id,effect,cell_a,cell_b,winner,metric,notes
M9,controller,C1,C0,C1,provenance_completeness,diff=0.0050
M9,controller,C1,C0,tie,internal_leakage,diff=0.0000
M9,generator,G1,G0,tie,readability,diff=0.0000
M9,generator,G1,G0,G0,depth,diff=-0.2500
M9,generator,G1,G0,tie,breadth,diff=0.0000
M9,generator,G1,G0,G1,source_groundedness,diff=0.0200
M9,generator,G1,G0,G1,overclaim_rate,diff=-0.0125
M9,generator,G1,G0,G1,unsupported_rate,diff=-0.0250
M9,generator,G1,G0,G1,unverifiable_rate,diff=-0.0150
M9,generator,G1,G0,G1,provenance_completeness,diff=0.0050
M9,generator,G1,G0,tie,internal_leakage,diff=0.0000
M9,mcp_surface,M1,M0,tie,readability,diff=0.0000
M9,mcp_surface,M1,M0,M1,depth,diff=0.7500
M9,mcp_surface,M1,M0,tie,breadth,diff=0.0000
M9,mcp_surface,M1,M0,M1,source_groundedness,diff=0.0100
M9,mcp_surface,M1,M0,M1,overclaim_rate,diff=-0.0125
M9,mcp_surface,M1,M0,M1,unsupported_rate,diff=-0.0150
M9,mcp_surface,M1,M0,M1,unverifiable_rate,diff=-0.0050
M9,mcp_surface,M1,M0,M1,provenance_completeness,diff=0.0550
M9,mcp_surface,M1,M0,tie,internal_leakage,diff=0.0000
